image,label
image/JPCLN003.png,label/JPCLN003.png
image/JPCLN008.png,label/JPCLN008.png
image/JPCLN041.png,label/JPCLN041.png
image/JPCLN063.png,label/JPCLN063.png
image/JPCLN083.png,label/JPCLN083.png
image/JPCLN130.png,label/JPCLN130.png
image/JPCNN036.png,label/JPCNN036.png
image/JPCNN052.png,label/JPCNN052.png
image/JPCNN061.png,label/JPCNN061.png
image/JPCLN005.png,label_noise1/JPCLN005.png
image/JPCLN006.png,label_noise1/JPCLN006.png
image/JPCLN007.png,label_noise1/JPCLN007.png
image/JPCLN010.png,label_noise1/JPCLN010.png
image/JPCLN011.png,label_noise1/JPCLN011.png
image/JPCLN012.png,label_noise1/JPCLN012.png
image/JPCLN013.png,label_noise1/JPCLN013.png
image/JPCLN014.png,label_noise1/JPCLN014.png
image/JPCLN015.png,label_noise1/JPCLN015.png
image/JPCLN017.png,label_noise1/JPCLN017.png
image/JPCLN018.png,label_noise1/JPCLN018.png
image/JPCLN019.png,label_noise1/JPCLN019.png
image/JPCLN023.png,label_noise1/JPCLN023.png
image/JPCLN026.png,label_noise1/JPCLN026.png
image/JPCLN028.png,label_noise1/JPCLN028.png
image/JPCLN030.png,label_noise1/JPCLN030.png
image/JPCLN031.png,label_noise1/JPCLN031.png
image/JPCLN032.png,label_noise1/JPCLN032.png
image/JPCLN033.png,label_noise1/JPCLN033.png
image/JPCLN034.png,label_noise1/JPCLN034.png
image/JPCLN035.png,label_noise1/JPCLN035.png
image/JPCLN036.png,label_noise1/JPCLN036.png
image/JPCLN037.png,label_noise1/JPCLN037.png
image/JPCLN038.png,label_noise1/JPCLN038.png
image/JPCLN039.png,label_noise1/JPCLN039.png
image/JPCLN040.png,label_noise1/JPCLN040.png
image/JPCLN044.png,label_noise1/JPCLN044.png
image/JPCLN045.png,label_noise1/JPCLN045.png
image/JPCLN046.png,label_noise1/JPCLN046.png
image/JPCLN048.png,label_noise1/JPCLN048.png
image/JPCLN050.png,label_noise1/JPCLN050.png
image/JPCLN051.png,label_noise1/JPCLN051.png
image/JPCLN052.png,label_noise1/JPCLN052.png
image/JPCLN053.png,label_noise1/JPCLN053.png
image/JPCLN054.png,label_noise1/JPCLN054.png
image/JPCLN055.png,label_noise1/JPCLN055.png
image/JPCLN056.png,label_noise1/JPCLN056.png
image/JPCLN057.png,label_noise1/JPCLN057.png
image/JPCLN059.png,label_noise1/JPCLN059.png
image/JPCLN060.png,label_noise1/JPCLN060.png
image/JPCLN062.png,label_noise1/JPCLN062.png
image/JPCLN064.png,label_noise1/JPCLN064.png
image/JPCLN065.png,label_noise1/JPCLN065.png
image/JPCLN066.png,label_noise1/JPCLN066.png
image/JPCLN068.png,label_noise1/JPCLN068.png
image/JPCLN069.png,label_noise1/JPCLN069.png
image/JPCLN070.png,label_noise1/JPCLN070.png
image/JPCLN071.png,label_noise1/JPCLN071.png
image/JPCLN072.png,label_noise1/JPCLN072.png
image/JPCLN073.png,label_noise1/JPCLN073.png
image/JPCLN074.png,label_noise1/JPCLN074.png
image/JPCLN075.png,label_noise1/JPCLN075.png
image/JPCLN076.png,label_noise1/JPCLN076.png
image/JPCLN077.png,label_noise1/JPCLN077.png
image/JPCLN079.png,label_noise1/JPCLN079.png
image/JPCLN080.png,label_noise1/JPCLN080.png
image/JPCLN082.png,label_noise1/JPCLN082.png
image/JPCLN084.png,label_noise1/JPCLN084.png
image/JPCLN086.png,label_noise1/JPCLN086.png
image/JPCLN088.png,label_noise1/JPCLN088.png
image/JPCLN089.png,label_noise1/JPCLN089.png
image/JPCLN090.png,label_noise1/JPCLN090.png
image/JPCLN091.png,label_noise1/JPCLN091.png
image/JPCLN092.png,label_noise1/JPCLN092.png
image/JPCLN093.png,label_noise1/JPCLN093.png
image/JPCLN095.png,label_noise1/JPCLN095.png
image/JPCLN097.png,label_noise1/JPCLN097.png
image/JPCLN098.png,label_noise1/JPCLN098.png
image/JPCLN099.png,label_noise1/JPCLN099.png
image/JPCLN100.png,label_noise1/JPCLN100.png
image/JPCLN101.png,label_noise1/JPCLN101.png
image/JPCLN102.png,label_noise1/JPCLN102.png
image/JPCLN103.png,label_noise1/JPCLN103.png
image/JPCLN104.png,label_noise1/JPCLN104.png
image/JPCLN105.png,label_noise1/JPCLN105.png
image/JPCLN106.png,label_noise1/JPCLN106.png
image/JPCLN108.png,label_noise1/JPCLN108.png
image/JPCLN109.png,label_noise1/JPCLN109.png
image/JPCLN110.png,label_noise1/JPCLN110.png
image/JPCLN112.png,label_noise1/JPCLN112.png
image/JPCLN114.png,label_noise1/JPCLN114.png
image/JPCLN116.png,label_noise1/JPCLN116.png
image/JPCLN117.png,label_noise1/JPCLN117.png
image/JPCLN119.png,label_noise1/JPCLN119.png
image/JPCLN120.png,label_noise1/JPCLN120.png
image/JPCLN121.png,label_noise1/JPCLN121.png
image/JPCLN124.png,label_noise1/JPCLN124.png
