image,label
image/LCTSC-Test-S1-101.nii.gz,label/LCTSC-Test-S1-101.nii.gz
image/LCTSC-Test-S1-102.nii.gz,label/LCTSC-Test-S1-102.nii.gz
image/LCTSC-Test-S1-103.nii.gz,label/LCTSC-Test-S1-103.nii.gz
image/LCTSC-Test-S1-104.nii.gz,label/LCTSC-Test-S1-104.nii.gz
image/LCTSC-Test-S1-201.nii.gz,label/LCTSC-Test-S1-201.nii.gz
image/LCTSC-Test-S1-202.nii.gz,label/LCTSC-Test-S1-202.nii.gz
image/LCTSC-Test-S1-203.nii.gz,label/LCTSC-Test-S1-203.nii.gz
image/LCTSC-Test-S1-204.nii.gz,label/LCTSC-Test-S1-204.nii.gz
image/LCTSC-Test-S2-101.nii.gz,label/LCTSC-Test-S2-101.nii.gz
image/LCTSC-Test-S2-102.nii.gz,label/LCTSC-Test-S2-102.nii.gz
image/LCTSC-Test-S2-103.nii.gz,label/LCTSC-Test-S2-103.nii.gz
image/LCTSC-Test-S2-104.nii.gz,label/LCTSC-Test-S2-104.nii.gz
image/LCTSC-Test-S2-201.nii.gz,label/LCTSC-Test-S2-201.nii.gz
image/LCTSC-Test-S2-202.nii.gz,label/LCTSC-Test-S2-202.nii.gz
image/LCTSC-Test-S2-203.nii.gz,label/LCTSC-Test-S2-203.nii.gz
image/LCTSC-Test-S2-204.nii.gz,label/LCTSC-Test-S2-204.nii.gz
image/LCTSC-Test-S3-101.nii.gz,label/LCTSC-Test-S3-101.nii.gz
image/LCTSC-Test-S3-102.nii.gz,label/LCTSC-Test-S3-102.nii.gz
image/LCTSC-Test-S3-103.nii.gz,label/LCTSC-Test-S3-103.nii.gz
image/LCTSC-Test-S3-104.nii.gz,label/LCTSC-Test-S3-104.nii.gz
image/LCTSC-Test-S3-201.nii.gz,label/LCTSC-Test-S3-201.nii.gz
image/LCTSC-Test-S3-202.nii.gz,label/LCTSC-Test-S3-202.nii.gz
image/LCTSC-Test-S3-203.nii.gz,label/LCTSC-Test-S3-203.nii.gz
image/LCTSC-Test-S3-204.nii.gz,label/LCTSC-Test-S3-204.nii.gz
image/LCTSC-Train-S1-001.nii.gz,label/LCTSC-Train-S1-001.nii.gz
image/LCTSC-Train-S1-002.nii.gz,label/LCTSC-Train-S1-002.nii.gz
image/LCTSC-Train-S1-003.nii.gz,label/LCTSC-Train-S1-003.nii.gz
image/LCTSC-Train-S1-004.nii.gz,label/LCTSC-Train-S1-004.nii.gz
image/LCTSC-Train-S1-005.nii.gz,label/LCTSC-Train-S1-005.nii.gz
image/LCTSC-Train-S1-006.nii.gz,label/LCTSC-Train-S1-006.nii.gz
image/LCTSC-Train-S1-007.nii.gz,label/LCTSC-Train-S1-007.nii.gz
image/LCTSC-Train-S1-008.nii.gz,label/LCTSC-Train-S1-008.nii.gz
image/LCTSC-Train-S1-009.nii.gz,label/LCTSC-Train-S1-009.nii.gz
image/LCTSC-Train-S1-010.nii.gz,label/LCTSC-Train-S1-010.nii.gz
image/LCTSC-Train-S1-011.nii.gz,label/LCTSC-Train-S1-011.nii.gz
image/LCTSC-Train-S1-012.nii.gz,label/LCTSC-Train-S1-012.nii.gz
image/LCTSC-Train-S2-001.nii.gz,label/LCTSC-Train-S2-001.nii.gz
image/LCTSC-Train-S2-002.nii.gz,label/LCTSC-Train-S2-002.nii.gz
image/LCTSC-Train-S2-003.nii.gz,label/LCTSC-Train-S2-003.nii.gz
image/LCTSC-Train-S2-004.nii.gz,label/LCTSC-Train-S2-004.nii.gz
image/LCTSC-Train-S2-005.nii.gz,label/LCTSC-Train-S2-005.nii.gz
image/LCTSC-Train-S2-006.nii.gz,label/LCTSC-Train-S2-006.nii.gz
image/LCTSC-Train-S2-007.nii.gz,label/LCTSC-Train-S2-007.nii.gz
image/LCTSC-Train-S2-008.nii.gz,label/LCTSC-Train-S2-008.nii.gz
image/LCTSC-Train-S2-009.nii.gz,label/LCTSC-Train-S2-009.nii.gz
image/LCTSC-Train-S2-010.nii.gz,label/LCTSC-Train-S2-010.nii.gz
image/LCTSC-Train-S2-011.nii.gz,label/LCTSC-Train-S2-011.nii.gz
image/LCTSC-Train-S2-012.nii.gz,label/LCTSC-Train-S2-012.nii.gz
image/LCTSC-Train-S3-001.nii.gz,label/LCTSC-Train-S3-001.nii.gz
image/LCTSC-Train-S3-002.nii.gz,label/LCTSC-Train-S3-002.nii.gz
image/LCTSC-Train-S3-003.nii.gz,label/LCTSC-Train-S3-003.nii.gz
image/LCTSC-Train-S3-004.nii.gz,label/LCTSC-Train-S3-004.nii.gz
image/LCTSC-Train-S3-005.nii.gz,label/LCTSC-Train-S3-005.nii.gz
image/LCTSC-Train-S3-006.nii.gz,label/LCTSC-Train-S3-006.nii.gz
image/LCTSC-Train-S3-007.nii.gz,label/LCTSC-Train-S3-007.nii.gz
image/LCTSC-Train-S3-008.nii.gz,label/LCTSC-Train-S3-008.nii.gz
image/LCTSC-Train-S3-009.nii.gz,label/LCTSC-Train-S3-009.nii.gz
image/LCTSC-Train-S3-010.nii.gz,label/LCTSC-Train-S3-010.nii.gz
image/LCTSC-Train-S3-011.nii.gz,label/LCTSC-Train-S3-011.nii.gz
image/LCTSC-Train-S3-012.nii.gz,label/LCTSC-Train-S3-012.nii.gz
