image,label
image/LCTSC-Train-S1-001.nii.gz,label/LCTSC-Train-S1-001.nii.gz
image/LCTSC-Train-S1-002.nii.gz,label/LCTSC-Train-S1-002.nii.gz
image/LCTSC-Train-S1-004.nii.gz,label/LCTSC-Train-S1-004.nii.gz
image/LCTSC-Train-S1-005.nii.gz,label/LCTSC-Train-S1-005.nii.gz
image/LCTSC-Train-S1-006.nii.gz,label/LCTSC-Train-S1-006.nii.gz
image/LCTSC-Train-S1-008.nii.gz,label/LCTSC-Train-S1-008.nii.gz
image/LCTSC-Train-S1-010.nii.gz,label/LCTSC-Train-S1-010.nii.gz
image/LCTSC-Train-S1-011.nii.gz,label/LCTSC-Train-S1-011.nii.gz
image/LCTSC-Train-S2-001.nii.gz,label/LCTSC-Train-S2-001.nii.gz
image/LCTSC-Train-S2-003.nii.gz,label/LCTSC-Train-S2-003.nii.gz
image/LCTSC-Train-S2-004.nii.gz,label/LCTSC-Train-S2-004.nii.gz
image/LCTSC-Train-S2-005.nii.gz,label/LCTSC-Train-S2-005.nii.gz
image/LCTSC-Train-S2-006.nii.gz,label/LCTSC-Train-S2-006.nii.gz
image/LCTSC-Train-S2-008.nii.gz,label/LCTSC-Train-S2-008.nii.gz
image/LCTSC-Train-S2-009.nii.gz,label/LCTSC-Train-S2-009.nii.gz
image/LCTSC-Train-S2-010.nii.gz,label/LCTSC-Train-S2-010.nii.gz
image/LCTSC-Train-S2-012.nii.gz,label/LCTSC-Train-S2-012.nii.gz
image/LCTSC-Train-S3-002.nii.gz,label/LCTSC-Train-S3-002.nii.gz
image/LCTSC-Train-S3-003.nii.gz,label/LCTSC-Train-S3-003.nii.gz
image/LCTSC-Train-S3-005.nii.gz,label/LCTSC-Train-S3-005.nii.gz
image/LCTSC-Train-S3-006.nii.gz,label/LCTSC-Train-S3-006.nii.gz
image/LCTSC-Train-S3-007.nii.gz,label/LCTSC-Train-S3-007.nii.gz
image/LCTSC-Train-S3-008.nii.gz,label/LCTSC-Train-S3-008.nii.gz
image/LCTSC-Train-S3-009.nii.gz,label/LCTSC-Train-S3-009.nii.gz
image/LCTSC-Train-S3-010.nii.gz,label/LCTSC-Train-S3-010.nii.gz
image/LCTSC-Train-S3-011.nii.gz,label/LCTSC-Train-S3-011.nii.gz
image/LCTSC-Train-S3-012.nii.gz,label/LCTSC-Train-S3-012.nii.gz
