image,label
patient003_frame01.nii.gz,patient003_frame01_gt.nii.gz
patient003_frame15.nii.gz,patient003_frame15_gt.nii.gz
patient004_frame01.nii.gz,patient004_frame01_gt.nii.gz
patient004_frame15.nii.gz,patient004_frame15_gt.nii.gz
patient005_frame01.nii.gz,patient005_frame01_gt.nii.gz
patient005_frame13.nii.gz,patient005_frame13_gt.nii.gz
patient006_frame01.nii.gz,patient006_frame01_gt.nii.gz
patient006_frame16.nii.gz,patient006_frame16_gt.nii.gz
patient009_frame01.nii.gz,patient009_frame01_gt.nii.gz
patient009_frame13.nii.gz,patient009_frame13_gt.nii.gz
patient010_frame01.nii.gz,patient010_frame01_gt.nii.gz
patient010_frame13.nii.gz,patient010_frame13_gt.nii.gz
patient012_frame01.nii.gz,patient012_frame01_gt.nii.gz
patient012_frame13.nii.gz,patient012_frame13_gt.nii.gz
patient014_frame01.nii.gz,patient014_frame01_gt.nii.gz
patient014_frame13.nii.gz,patient014_frame13_gt.nii.gz
patient015_frame01.nii.gz,patient015_frame01_gt.nii.gz
patient015_frame10.nii.gz,patient015_frame10_gt.nii.gz
patient017_frame01.nii.gz,patient017_frame01_gt.nii.gz
patient017_frame09.nii.gz,patient017_frame09_gt.nii.gz
patient018_frame01.nii.gz,patient018_frame01_gt.nii.gz
patient018_frame10.nii.gz,patient018_frame10_gt.nii.gz
patient020_frame01.nii.gz,patient020_frame01_gt.nii.gz
patient020_frame11.nii.gz,patient020_frame11_gt.nii.gz
patient021_frame01.nii.gz,patient021_frame01_gt.nii.gz
patient021_frame13.nii.gz,patient021_frame13_gt.nii.gz
patient023_frame01.nii.gz,patient023_frame01_gt.nii.gz
patient023_frame09.nii.gz,patient023_frame09_gt.nii.gz
patient026_frame01.nii.gz,patient026_frame01_gt.nii.gz
patient026_frame12.nii.gz,patient026_frame12_gt.nii.gz
patient027_frame01.nii.gz,patient027_frame01_gt.nii.gz
patient027_frame11.nii.gz,patient027_frame11_gt.nii.gz
patient029_frame01.nii.gz,patient029_frame01_gt.nii.gz
patient029_frame12.nii.gz,patient029_frame12_gt.nii.gz
patient031_frame01.nii.gz,patient031_frame01_gt.nii.gz
patient031_frame10.nii.gz,patient031_frame10_gt.nii.gz
patient032_frame01.nii.gz,patient032_frame01_gt.nii.gz
patient032_frame12.nii.gz,patient032_frame12_gt.nii.gz
patient034_frame01.nii.gz,patient034_frame01_gt.nii.gz
patient034_frame16.nii.gz,patient034_frame16_gt.nii.gz
patient035_frame01.nii.gz,patient035_frame01_gt.nii.gz
patient035_frame11.nii.gz,patient035_frame11_gt.nii.gz
patient036_frame01.nii.gz,patient036_frame01_gt.nii.gz
patient036_frame12.nii.gz,patient036_frame12_gt.nii.gz
patient037_frame01.nii.gz,patient037_frame01_gt.nii.gz
patient037_frame12.nii.gz,patient037_frame12_gt.nii.gz
patient038_frame01.nii.gz,patient038_frame01_gt.nii.gz
patient038_frame11.nii.gz,patient038_frame11_gt.nii.gz
patient040_frame01.nii.gz,patient040_frame01_gt.nii.gz
patient040_frame13.nii.gz,patient040_frame13_gt.nii.gz
patient041_frame01.nii.gz,patient041_frame01_gt.nii.gz
patient041_frame11.nii.gz,patient041_frame11_gt.nii.gz
patient042_frame01.nii.gz,patient042_frame01_gt.nii.gz
patient042_frame16.nii.gz,patient042_frame16_gt.nii.gz
patient043_frame01.nii.gz,patient043_frame01_gt.nii.gz
patient043_frame07.nii.gz,patient043_frame07_gt.nii.gz
patient044_frame01.nii.gz,patient044_frame01_gt.nii.gz
patient044_frame11.nii.gz,patient044_frame11_gt.nii.gz
patient047_frame01.nii.gz,patient047_frame01_gt.nii.gz
